character,id,favs,posts
ichijou_ririka_(1st_costume),6975693,110,112
suzuran_(lostlands_flowering)_(arknights),4446474,88,112
amoris_(bang_dream!),8847732,22,112
sister_claire_(1st_costume),5768729,94,111
ryuuhou_(kancolle),1704871,55,111
beni-enma_(first_ascension),3368214,59,111
ceobe_(unfettered)_(arknights),5643112,74,111
little_ica_(honkai:_star_rail),9235906,32,111
hermes_(kino_no_tabi),1981576,80,111
jeanne_d'arc_alter_(avenger)_(first_ascension)_(fate),6120835,93,111
usano_mimi,1163089,26,111
bubba_(watson_amelia),4190169,155,110
serina_(christmas)_(blue_archive),5914596,84,110
hk416_(black_kitty's_gift)_(girls'_frontline),3550266,91,110
failure_penguin,2365983,93,110
ogerpon_(teal_mask),6685892,65,110
sailor_venus,4493028,42,110
homu_(honkai_impact),5505540,136,110
shikinami_kai_ni_(kancolle),6430707,40,109
ganyu_(china_merchants_bank)_(genshin_impact),5678280,108,108
gunner_2_(sekaiju),5386604,56,108
ereshkigal_(third_ascension)_(fate),4104454,110,108
magical_mirai_miku_(2019),6641338,35,108
sakura_bakushin_o_(blossom_in_learning)_(umamusume),9597075,81,108
gramophone_miku,3836466,95,107
nimi_nightmare_(1st_costume),9195201,168,107
kel_(headspace)_(omori),6775968,17,107
takamachi_nanoha_(aggressor_mode),123325,29,107
hachune_miku,566505,80,107
cure_finale,5517554,15,106
lize_helesta_(1st_costume),3516933,53,106
luo_xiaohei_(human),5672475,11,106
kenmochi_touko,3820754,53,106
yuki_miku_(2015),2839070,55,106
model_w_(mega_man),51222,29,106
hoshimachi_suisei_(maid),5925232,83,106
ange_katrina_(5th_costume),5712179,33,106
myoukou_kai_ni_(kancolle),2683659,49,106
kayoko_(dress)_(blue_archive),7250398,116,105
tokoyami_towa_(1st_costume),4916600,79,105
magical_mirai_miku_(2017),2839070,55,105
yuuki_sakuna_(1st_costume),8480600,49,105
laplace_(kamitsubaki_studio),4574051,53,105
griseo_(starry_impression),5479641,66,105
lucia:_plume_(pgr),5036037,60,105
haruna_(new_year)_(blue_archive),5944960,65,105
shioriha_ruri_(1st_costume),6912750,26,104
amiya_(newsgirl)_(arknights),5921263,44,104
bardiche_(assault_form)_(nanoha),5520842,31,104
senji_muramasa_(fate),2116330,90,104
ichinose_uruha_(6th_costume),6774238,43,104
director_chimera_(spy_x_family),5956140,51,103
trunks_(future)_(dragon_ball),4471768,39,103
bokukawauso,3569641,66,103
petra_gurin_(1st_costume),4645664,66,103
surtr_(liberte_echec)_(arknights),5459037,197,103
chief_(path_to_nowhere),5977340,97,103
win_variation_(dramatic_tutu)_(umamusume),9402003,25,103
kokoro_(hakui_koyori),5626059,59,103
fu_hua_(valkyrie_accipiter),4115496,48,103
smart_falcon_(love_4ever)_(umamusume),6009698,37,103
fighting_miku_(project_voltage),6744443,35,103
bloom_poetry_(shining_nikki),8997926,9,102
murasaki_shion_(1st_costume),4677149,46,102
asuna_(sao-alo),1341418,53,102
kizuna_ai_(1st_costume),2958063,241,102
shirakami_fubuki_(loungewear),8232004,55,101
astolfo_(saber)_(third_ascension)_(fate),3901533,63,101
yamato_kai_ni_(kancolle),7447500,65,101
takoluka,523304,263,101
yuugumo_kai_ni_(kancolle),3538678,50,101
taiyou_(kancolle),3293499,46,101
takamachi_nanoha_(original_mode),333182,35,100
hoshikawa_sara_(4th_costume),8157523,47,100
aesc_(rain_witch)_(fate),6590481,104,100
hatsune_miku_(ichi_no_sakura_oka),5632219,33,100
gregor_(tsurunoka),3639297,39,100
kama_(young)_(fate),4330466,91,99
kumano_kai_ni_(kancolle),2749584,48,99
otomo_(hoshirube_sho),8476429,9,99
sailor_mars,6640894,50,98
falin_touden_(chimera),7793212,48,98
queen_draco_(fate),6277282,81,98
usa-chan_(idolmaster),3639346,72,98
dark_miku_(project_voltage),6718629,63,98
female_rover_(wuthering_waves),7692224,88,97
akebono_kai_ni_(kancolle),5745584,40,97
yahagi_kai_ni_(kancolle),5176307,139,97
kome-kome,5711401,15,97
shiver_(deep_cut_outfit)_(splatoon),6164477,31,97
rex_lapis_(genshin_impact),4235372,51,97
uruha_rushia_(3rd_costume),4935199,63,96
enna_alouette_(1st_costume),4832540,46,96
ao-chan_(ninomae_ina'nis),5867627,109,96
arjuna_alter_(fate),3701015,67,95
kawakaze_kai_ni_(kancolle),2337660,58,95
agnes_tachyon_(casual)_(umamusume),9902611,106,95
inu_sakuya_(nejikirio),412284,170,95
skadi_(elite_ii)_(arknights),5357720,64,95
yuki_miku_(2022),8819077,30,95
ninomae_ina'nis_(loungewear),6995685,104,95
takamachi_nanoha_(exceed_mode),294196,58,94
